Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
3.6984,4.98E-03,7.26E-01,4.57E-01,1.66E-04,1.22E-04,1.57E-06,1.81E-03,1.56E-04,2.46E-01
3.6784,5.08E-03,3.03E-01,4.60E-01,1.83E-04,1.36E-04,6.89E-07,2.03E-03,1.73E-04,2.51E-01
3.6584,5.21E-03,-4.17E-01,4.60E-01,2.05E-04,1.55E-04,-1.14E-06,2.30E-03,1.92E-04,2.53E-01
3.6384,5.15E-03,1.20E-01,4.60E-01,2.26E-04,1.69E-04,3.67E-07,2.58E-03,2.14E-04,2.67E-01
3.6184,5.26E-03,1.79E-01,4.64E-01,2.45E-04,1.86E-04,5.80E-07,2.86E-03,2.32E-04,2.72E-01
3.5984,5.26E-03,2.21E-01,4.67E-01,2.67E-04,2.02E-04,7.43E-07,3.16E-03,2.54E-04,2.82E-01
3.5784,5.30E-03,4.37E-01,4.75E-01,2.86E-04,2.17E-04,1.64E-06,3.50E-03,2.77E-04,3.00E-01
3.5584,5.33E-03,4.71E-01,4.76E-01,3.07E-04,2.35E-04,1.93E-06,3.80E-03,2.97E-04,3.02E-01
3.5384,5.33E-03,1.31E-01,4.81E-01,3.27E-04,2.48E-04,5.63E-07,4.14E-03,3.16E-04,3.01E-01
3.5184,5.33E-03,1.09E-01,4.82E-01,3.50E-04,2.64E-04,4.92E-07,4.52E-03,3.41E-04,3.13E-01
3.4984,5.35E-03,3.86E-01,4.92E-01,3.67E-04,2.76E-04,1.83E-06,4.91E-03,3.63E-04,3.30E-01
3.4784,5.34E-03,4.05E-01,4.94E-01,3.87E-04,2.90E-04,1.99E-06,5.29E-03,3.84E-04,3.29E-01
3.4584,5.32E-03,-1.84E-01,5.02E-01,4.05E-04,3.02E-04,-1.02E-06,5.70E-03,4.05E-04,3.33E-01
3.4384,5.27E-03,4.60E-01,5.10E-01,4.22E-04,3.11E-04,2.38E-06,6.10E-03,4.25E-04,3.43E-01
3.4184,5.19E-03,4.79E-01,5.16E-01,4.39E-04,3.18E-04,2.78E-06,6.56E-03,4.48E-04,3.53E-01
3.3984,5.13E-03,2.76E-01,5.24E-01,4.56E-04,3.27E-04,1.62E-06,7.02E-03,4.69E-04,3.66E-01
3.3784,5.08E-03,6.62E-01,5.27E-01,4.73E-04,3.33E-04,3.81E-06,7.49E-03,4.89E-04,3.61E-01
3.3584,4.92E-03,1.67E-01,5.39E-01,4.88E-04,3.34E-04,9.42E-07,7.98E-03,5.08E-04,3.71E-01
3.3384,4.80E-03,-3.48E-02,5.46E-01,5.03E-04,3.33E-04,-1.28E-07,8.50E-03,5.29E-04,3.78E-01
3.3184,4.65E-03,2.59E-01,5.54E-01,5.20E-04,3.33E-04,1.48E-06,9.05E-03,5.47E-04,3.72E-01
3.2984,4.52E-03,-7.56E-02,5.69E-01,5.29E-04,3.28E-04,-3.01E-07,9.58E-03,5.63E-04,3.85E-01
3.2784,4.46E-03,1.92E-01,5.86E-01,5.38E-04,3.28E-04,8.79E-07,1.02E-02,5.80E-04,4.00E-01
3.2584,4.06E-03,3.01E-01,5.97E-01,5.54E-04,3.10E-04,1.67E-06,1.08E-02,5.97E-04,3.94E-01
3.2384,3.91E-03,1.38E-01,6.16E-01,5.63E-04,3.02E-04,6.65E-07,1.14E-02,6.14E-04,4.06E-01
3.2184,3.65E-03,7.23E-01,6.30E-01,5.74E-04,2.86E-04,3.68E-06,1.21E-02,6.31E-04,4.07E-01
3.1984,3.38E-03,4.20E-01,6.46E-01,5.89E-04,2.71E-04,1.97E-06,1.28E-02,6.48E-04,4.05E-01
3.1784,3.23E-03,3.33E-01,6.63E-01,6.06E-04,2.66E-04,1.55E-06,1.36E-02,6.66E-04,4.01E-01
3.1584,3.00E-03,4.25E-01,6.84E-01,6.23E-04,2.53E-04,1.86E-06,1.46E-02,6.84E-04,4.01E-01
3.1384,2.76E-03,-1.31E-01,6.96E-01,6.40E-04,2.39E-04,-6.23E-07,1.55E-02,7.08E-04,4.03E-01
3.1184,2.56E-03,4.31E-01,7.16E-01,6.57E-04,2.26E-04,1.70E-06,1.65E-02,7.25E-04,3.93E-01
3.0997,2.35E-03,-4.40E-03,7.26E-01,6.74E-04,2.13E-04,-4.97E-09,1.73E-02,7.42E-04,3.85E-01
3.0977,2.36E-03,2.77E-01,7.32E-01,6.06E-04,1.92E-04,9.11E-07,1.57E-02,6.71E-04,3.93E-01
3.0777,2.15E-03,2.75E-01,7.43E-01,6.23E-04,1.79E-04,8.45E-07,1.65E-02,6.83E-04,3.75E-01
3.0577,1.96E-03,3.58E-01,7.54E-01,6.31E-04,1.66E-04,9.60E-07,1.71E-02,6.91E-04,3.71E-01
3.0377,1.80E-03,1.11E-01,7.63E-01,6.40E-04,1.54E-04,2.70E-07,1.77E-02,7.00E-04,3.66E-01
3.0177,1.59E-03,1.63E-01,7.80E-01,6.48E-04,1.37E-04,3.13E-07,1.84E-02,7.00E-04,3.47E-01
2.9977,1.49E-03,6.42E-02,7.88E-01,6.57E-04,1.30E-04,1.78E-07,1.90E-02,7.08E-04,3.44E-01
2.9777,1.35E-03,4.41E-01,7.97E-01,6.65E-04,1.20E-04,9.05E-07,1.96E-02,7.17E-04,3.31E-01
2.9577,1.23E-03,-1.06E-02,8.13E-01,6.74E-04,1.10E-04,-1.19E-08,2.02E-02,7.19E-04,3.24E-01
2.9377,1.13E-03,-1.67E+00,8.22E-01,6.80E-04,1.02E-04,-2.87E-06,2.07E-02,7.25E-04,3.15E-01
2.9177,1.02E-03,1.29E+00,8.28E-01,6.82E-04,9.16E-05,2.06E-06,2.11E-02,7.25E-04,3.09E-01
2.8977,9.41E-04,-9.24E-02,8.40E-01,6.82E-04,8.43E-05,-1.58E-07,2.15E-02,7.25E-04,3.05E-01
2.8777,9.33E-04,1.09E-01,8.43E-01,6.91E-04,8.43E-05,1.57E-07,2.19E-02,7.25E-04,2.92E-01
2.8577,7.72E-04,9.98E-01,8.48E-01,6.99E-04,7.09E-05,1.13E-06,2.24E-02,7.33E-04,2.80E-01
2.8377,7.64E-04,2.36E+00,8.54E-01,7.08E-04,7.09E-05,2.77E-06,2.30E-02,7.34E-04,2.60E-01
